There is discontinuous confidence interval around purity estimates before reaching the last purity.
Warning! There is discontinuous confidence interval around final purity estimate; we may not have enough power to break ambiguity between different purity estimates.
len_SNV_list:90
len_SNV_list_after_germline_removed:70
len_SNV_list_after_germline_and_subclone_removed:69
All_variants	Presence(T)/Absence(F)_after_germline_removed	Presence(T)/Absence(F)_after_germline&subclone_removed
Var62:61.0:939	True	True
Var86:70.0:322	False	False
Var43:49.0:739	False	False
Var88:44.0:908	False	False
Var48:53.0:881	True	True
Var9:13.0:563	True	True
Var59:59.0:694	False	False
Var56:56.0:355	True	True
Var25:23.0:429	True	True
Var83:37.0:473	True	True
Var45:57.0:716	True	True
Var79:9.0:699	True	True
Var72:16.0:725	True	True
Var44:61.0:513	True	True
Var55:55.0:872	True	True
Var23:21.0:424	True	True
Var6:8.0:483	True	True
Var78:18.0:884	True	True
Var2:11.0:529	True	True
Var38:54.0:568	False	False
Var32:49.0:666	False	False
Var27:20.0:629	True	True
Var53:56.0:864	True	True
Var4:13.0:824	True	True
Var46:55.0:691	True	True
Var3:7.0:563	True	False
Var13:10.0:583	True	True
Var80:43.0:901	True	True
Var39:52.0:708	False	False
Var34:51.0:958	False	False
Var60:62.0:652	True	True
Var89:66.0:829	True	True
Var85:53.0:940	False	False
Var7:12.0:339	True	True
Var12:13.0:518	True	True
Var26:18.0:687	True	True
Var52:61.0:459	True	True
Var77:28.0:929	True	True
Var21:21.0:494	True	True
Var49:55.0:660	True	True
Var40:50.0:991	False	False
Var33:48.0:662	False	False
Var50:56.0:731	True	True
Var24:21.0:443	True	True
Var15:13.0:873	True	True
Var57:54.0:906	True	True
Var17:13.0:456	True	True
Var1:10.0:874	True	True
Var58:58.0:790	True	True
Var54:57.0:722	True	True
Var14:10.0:645	True	True
Var81:69.0:452	False	False
Var76:38.0:941	True	True
Var18:10.0:956	True	True
Var11:13.0:726	True	True
Var35:50.0:681	False	False
Var70:61.0:864	True	True
Var82:54.0:737	True	True
Var16:14.0:344	True	True
Var19:19.0:990	True	True
Var10:11.0:993	True	True
Var68:62.0:910	True	True
Var61:62.0:889	True	True
Var37:50.0:977	False	False
Var66:60.0:610	True	True
Var36:48.0:576	False	False
Var73:34.0:516	True	True
Var74:49.0:637	True	True
Var30:19.0:699	True	True
Var90:11.0:875	True	True
Var75:14.0:928	True	True
Var29:18.0:342	True	True
Var69:57.0:522	False	False
Var42:48.0:391	False	False
Var65:60.0:415	False	False
Var20:22.0:735	True	True
Var67:59.0:512	False	False
Var63:60.0:882	True	True
Var8:12.0:898	True	True
Var51:54.0:764	True	True
Var71:16.0:895	True	True
Var47:55.0:373	True	True
Var64:60.0:559	True	True
Var84:41.0:973	True	True
Var28:20.0:920	True	True
Var41:48.0:523	False	False
Var5:9.0:813	True	True
Var87:39.0:760	True	True
Var22:19.0:946	True	True
Var31:22.0:625	True	True
purity:	0.23	0.22,0.23
purity_after_removing_germline_no_LOH:	0.22	0.21,0.22
purity_after_removing_germline_no_LOH_and_subclonal:	0.22	0.21,0.22
SIM_DATA_3.4412	0.22	0.21,0.22
