Chromosome	Start	End	Num_Probes	Segment_Mean
1	54405665	54405764	1	-1.0
1	180793922	180794021	1	-1.0
2	74435021	74435120	1	2.0
5	131972949	131973048	1	1.58496250072
6	117046960	117047059	1	-1.0
10	70532845	70532944	1	1.0
10	105923978	105924077	1	-1.0
12	13364445	13364544	1	1.58496250072
12	59313732	59313831	1	-1.0
13	42481804	42481903	1	1.32192809489
14	25326422	25326521	1	1.80735492206
14	102900889	102900988	1	0.584962500721
15	86077076	86077175	1	-1.0
16	1266979	1267078	1	-1.0
16	11643398	11643497	1	-1.0
19	6182980	6183079	1	2.0
21	30973480	30973579	1	0.584962500721
