Chromosome	Start	End	Num_Probes	Segment_Mean
1	65509	249212623	22888	0
2	41459	243037218	17336	0
3	239350	50313082	4321	0
3	50313083	50313182	1	0.584962500721
3	50313183	105238968	2643	0
3	105238969	105239068	1	-1.0
3	105239069	122060449	1123	0
3	122060450	122060549	1	1.32192809489
3	122060550	197765578	5358	0
4	53238	190981567	9193	0
5	140384	180687847	10430	0
6	203388	170893657	11760	0
7	193220	6805407	953	0
7	6805408	6805507	1	-1.0
7	6805508	98576371	5102	0
7	98576372	98576471	1	1.0
7	98576472	105209860	1317	0
7	105209861	105209960	1	1.58496250072
7	105209961	159025951	4103	0
8	182713	74692678	4178	0
8	74692679	74692778	1	1.80735492206
8	74692779	146279543	3821	0
9	154730	141071759	9210	0
10	95122	98824699	6182	0
10	98824700	98824799	1	-1.0
10	98824800	135473116	3336	0
11	193051	17635187	2502	0
11	17635188	17635287	1	-1.0
11	17635288	118485284	8849	0
11	118485285	118485384	1	1.32192809489
11	118485385	134856681	1486	0
12	176060	22040723	2630	0
12	22040724	22040823	1	1.0
12	22040824	133811022	10557	0
13	19600474	115091802	4157	0
14	19685130	75576436	4889	0
14	75576437	75576536	1	1.80735492206
14	75576537	107283157	2792	0
15	20169986	102462870	8274	0
16	81703	1269122	453	0
16	1269123	1269222	1	1.80735492206
16	1269223	90161242	8890	0
17	6003	81083625	12916	0
18	116844	78005277	3675	0
19	107093	39329195	7688	0
19	39329196	39329295	1	-1.0
19	39329296	58549260	5443	0
19	58549261	58549360	1	1.58496250072
19	58549361	59084001	154	0
20	68259	62959313	5585	0
21	9825763	17763906	158	0
21	17763907	17764006	1	-1.0
21	17764007	48084354	2322	0
22	16157525	51220743	5060	0
23	200849	155237368	8146	0
24	150849	59340374	522	0
